// Esecuzione locale 27,473 secondi

0006641040	2003:5 2004:4 2005:3 2007:4 2008:4 2009:5 2010:5 2011:4 2012:4
141278509X	2012:5 
2734888454	2007:3 
2841233731	2012:5 
7310172001	2005:3 2006:5 2007:4 2008:4 2009:4 2010:4 2011:4 2012:4 
7310172101	2005:3 2006:5 2007:4 2008:4 2009:4 2010:4 2011:4 2012:4 
7800648702	2012:4 
9376674501	2011:5 
B00002N8SM	2007:2 2008:1 2009:2 2010:1 2011:2 2012:1 
B00002NCJC	2010:4 
B00002Z754	
B00004CI84	2003:3 2004:4 2005:4 2006:4 2007:4 2008:4 2009:4 2010:4 2011:4 2012:4 
B00004CXX9	2003:3 2004:4 2005:4 2006:4 2007:4 2008:4 2009:4 2010:4 2011:4 2012:4 
B00004RAMS	2006:1 2007:1 2008:4 2009:5 2010:3 2011:4 2012:3 
B00004RAMV	2007:4 2009:2 2011:2 2012:1 
B00004RAMX	2003:1 2007:5 2008:5 2009:5 2010:3 2011:3 2012:3 
B00004RAMY	2005:5 2006:4 2007:4 2008:3 2009:4 2010:3 2011:3 2012:4 
B00004RBDU	2007:4 2008:5 2009:4 2010:3 2011:3 2012:3 
B00004RBDW	2009:4 2010:4 2011:3 2012:4 
B00004RBDZ	2007:5 2009:4 2010:4 2011:3 2012:3 
B00004RYGX	2003:3 2004:4 2005:4 2006:4 2007:4 2008:4 2009:4 2010:4 2011:4 2012:4 
B00004S1C5	2007:4 2008:3 2009:4 2010:4 2011:4 2012:3 
B00004S1C6	2007:5 2008:4 2009:4 2010:4 2011:4 2012:4 
B000052Y74	2005:5 2007:3 2008:4 2011:2 2012:4 
B00005344V	2007:5 2008:5 2009:5 2010:5 2011:5 2012:4 
B0000535LF	2011:5 
B0000537KC	2006:4 2007:4 2009:5 2010:5 2011:4 2012:3 
B00005C2JE	2012:5 
B00005C2M2	2006:4 2007:5 2008:4 2009:4 2010:3 2011:4 2012:4 
B00005C2M3	2010:1 2011:5 2012:2 
B00005IX96	2003:3 2004:5 2007:1 2008:1 2009:5 2011:3 2012:4 
B00005IX97	2003:3 2004:5 2007:1 2008:1 2009:5 2011:3 2012:4 
B00005IX98	2003:3 2004:5 2007:1 2008:1 2009:5 2011:3 2012:4 
B00005OMWO	2005:5 2012:4 
B00005OMWQ	2007:5 2009:5 2010:5 2011:4 2012:3 
B00005U2FA	2003:4 2004:3 2005:3 2006:5 2007:4 2008:4 2009:4 2010:4 2011:4 2012:4 
B00005V3DC	2007:5 2012:5 
B0000643LM	2009:5 2010:5 2011:5 
B0000691JF	2005:4 2007:5 
B000069KQW	2008:5 
B00006FMLY	2011:4 2012:4 
B00006G930	2010:2 2011:3 2012:2 
B00006IDJO	2008:1 
B00006IDJU	2008:4 
B00006IDK9	2010:5 2011:3 2012:5 
B00006L2ZT	2005:5 2010:5 
B00006LL38	2005:5 2006:4 2008:4 2010:3 2012:3 
B00008433V	2006:5 2007:3 2011:4 2012:4 
B000084346	2012:5 
B00008434E	2012:5 
B00008434F	2006:2 2007:3 
B00008437P	2009:5 2012:1 
B000084388	2007:5 2008:5 2009:4 2011:5 
B000084DVR	2006:5 2007:5 
B000084DWM	2006:3 2007:4 2008:1 2010:2 2011:4 2012:4 
B000084DXS	2010:5 2012:5 
B000084DYL	2006:3 2008:4 
B000084E1U	2006:5 
B000084E66	2007:4 2009:5 2010:3 2011:3 2012:3 
B000084E6V	2005:5 2006:5 2007:4 2008:4 2009:3 2010:4 2011:3 2012:4 
B000084E6Y	2006:4 
B000084E76	2004:5 2006:4 2007:4 2008:5 2010:1 2011:3 2012:3 
B000084E7R	2011:5 2012:5 
B000084E9J	2012:3 
B000084E9M	2006:5 2007:5 2008:5 2009:5 2010:5 
B000084EA6	2009:5 2011:5 
B000084EAD	2011:5 
B000084EBE	2010:5 
B000084EBL	2009:5 
B000084EBO	2010:5 2011:5 
B000084ED0	2005:5 
B000084EHL	2007:5 2009:5 2010:1 2011:5 
B000084EHT	2008:5 2012:5 
B000084EHV	2005:5 2007:5 2008:5 2009:1 2010:5 
B000084EI0	2004:5 
B000084EIQ	2006:5 2008:3 
B000084EIZ	2009:5 
B000084EJO	2011:4 
B000084EJP	2006:5 2010:5 2011:5 
B000084EJQ	2004:4 
B000084EJR	2004:4 
B000084EJS	2004:4 
B000084EJT	2004:4 
B000084EJY	2004:4 2007:5 
B000084EK4	2004:3 
B000084EK5	2004:5 
B000084EK6	2004:5 
B000084EK7	2004:4 
B000084EK8	2004:3 
B000084EK9	2004:1 2009:5 2012:5 
B000084EKA	2004:4 
B000084EKB	2004:4 
B000084EKC	2004:5 
B000084EKD	2004:2 
B000084EKG	2004:5 2007:5 
B000084EKL	2011:5 
B000084EKM	2010:4 
B000084EKO	2004:3 
B000084EKQ	2008:3 
B000084EKW	2005:5 2006:3 2008:5 
B000084EKY	2004:4 2005:5 2007:5 2008:5 
B000084EL4	2011:5 2012:3 
B000084ELB	2007:5 
B000084ELC	2007:5 
B000084ELP	2006:5 
B000084EOF	2005:5 
B000084EOH	2004:5 2008:2 2009:5 2012:5 
B000084EOQ	2008:4 
B000084ERQ	2009:5 2010:5 
B000084ERR	2011:4 
B000084ERU	2007:5 
B000084ERX	2007:5 
B000084ESM	2008:5 2010:5 2011:5 2012:1 
B000084ET4	2011:1 
B000084ETV	2004:5 2005:5 2006:4 2007:4 2008:2 2009:1 2010:3 2011:4 2012:4 
B000084ETY	2011:3 2012:3 
B000084EU0	2012:5 
B000084EUI	2009:5 
B000084EVG	2010:4 2012:5 
B000084EVH	2011:5 
B000084EWU	2011:5 2012:5 
B000084EXJ	2011:5 
B000084EYJ	2010:5 
B000084EYZ	2010:5 
B000084EZ4	2006:1 2007:5 2008:2 2009:3 2010:4 2011:4 2012:4 
B000084EZE	2007:5 
B000084F04	2003:3 2004:5 2005:2 2006:4 2007:3 2008:3 2009:3 2010:3 2011:3 2012:3 
B000084F07	2012:5 
B000084F0P	2010:5 2012:4 
B000084F10	2010:4 
B000084F11	2012:5 
B000084F1I	2011:4 2012:3 
B000084F1L	2008:3 
B000084F1O	2011:4 2012:4 
B000084F1Z	2009:5 2010:2 2011:5 2012:4 
B000084F3O	2004:2 2005:5 2006:5 2007:4 2008:4 2010:5 2011:1 
B000084F3X	2007:3 2008:5 2011:5 2012:2 
B000084F44	2008:5 2009:5 2010:4 2011:5 2012:4 
B000084F5E	2010:4 2011:3 2012:4 
B000084F5K	2007:5 
B000084F5N	2012:5 
B000084F5Y	2012:5 
B000084F62	2012:5 
B000084F67	2012:2 
B000084F68	2012:5 
B000084F6E	2007:5 
B000084F6F	2010:4 2011:4 2012:4 
B000084F85	2005:4 
B000087BJ3	2009:5 2010:5 
B000087BJ4	2010:5 
B000089D9T	2008:5 2009:5 
B00008CQV5	2006:5 2007:5 
B00008CQVA	2006:1 2007:5 2008:2 2009:3 2010:4 2011:4 2012:4 
B00008DF6C	2012:5 
B00008DF91	2007:2 2010:5 2011:5 2012:3 
B00008DFAM	2008:5 2011:1 2012:5 
B00008DFB0	2012:5 
B00008DFB5	2008:5 2010:1 
B00008DFDJ	2008:5 
B00008DFK5	2005:5 2006:5 2007:4 2008:4 2009:4 2010:3 2011:3 2012:3 
B00008DFNJ	2006:5 
B00008DFNV	2004:5 2007:5 2009:4 
B00008DFOG	2010:3 2011:4 2012:5 
B00008DFOM	2011:1 
B00008DFP1	2004:5 
B00008DFPY	2008:4 2012:5 
B00008DFR5	2007:5 2011:5 
B00008DFTH	2006:5 2007:2 
B00008DFTP	2011:5 2012:5 
B00008GKAO	2008:4 
B00008GKAV	2009:1 2010:1 
B00008GKB1	2007:5 2010:4 
B00008GQ4F	2007:4 2011:5 2012:2 
B00008GQ50	2011:5 2012:1 
B00008JOL0	2006:5 2007:5 2008:4 2009:5 2010:4 2011:4 2012:4 
B00008MOF8	2008:5 
B00008MOFD	2012:5 
B00008MOI8	2007:5 
B00008MOIF	2006:1 2007:4 2008:1 2009:1 2010:2 2011:2 2012:1 
B00008MOIK	2003:3 
B00008MOJ2	2009:5 2011:5 2012:3 
B00008O35V	2008:5 2010:5 2011:1 
B00008O36H	2009:3 2010:3 2012:1 
B00008Q37R	2005:5 
B00008Q3B7	2011:4 2012:5 
B00008RCMI	2003:4 
B00008WUA9	2004:4 2005:4 2006:4 2007:4 2010:3 2011:3 
B000093HKC	2008:5 2010:3 2011:3 
B000093HOV	2012:4 
B000096O8Y	2011:5 
B000096OIV	2008:5 
B00009KF1J	2004:5 2005:4 2006:1 2007:5 2012:1 
B00009KF1K	2007:5 
B00009LIAO	2011:3 
B00009ND79	2011:5 
B00009ND7A	2010:5 2012:4 
B00009OLE2	2011:2 2012:5 
B00009OLEP	2011:5 2012:4 
B00009OLEW	2008:5 2011:5 
B00009OLFC	2012:5 
B00009OLJ6	2009:2 
B00009ZIY2	2008:1 2009:3 2010:4 2011:2 2012:2 
B00009ZJ2Y	2007:4 
B00009ZJ48	2007:5 2008:5 2009:4 
B0000A0BS5	2003:2 2004:5 2006:1 2012:5 
B0000A0BS8	2003:4 
B0000A1ODP	2011:5 2012:4 
B0000A1ODW	2011:5 2012:4 
B0000A1OEF	2009:4 2011:3 
B0000A1OEJ	2011:1 
B0000AE5ZC	2011:5 2012:5 
B0000AE5ZD	2009:4 2011:3 
B0000AE5ZE	2009:4 2011:3 
B0000AE623	2011:3 2012:4 
B0000AE62K	2009:5 2011:5 
B0000AH3OQ	2012:1 
B0000AH3OX	2010:5 2011:5 
B0000AH3P3	2007:5 
B0000AH3QT	2011:2 2012:5 
B0000AH3QW	2011:4 2012:3 
B0000AH3R1	2011:5 2012:5 
B0000AH3RM	2011:4 2012:5 
B0000AH3RP	2011:2 2012:4 
B0000AH3RR	2012:3 
B0000AH3UI	2009:5 
B0000AH3UK	2007:4 2008:4 2009:5 2011:4 2012:5 
B0000AH9XL	2006:5 2010:5 2011:5 
B0000AH9XO	2004:5 
B0000AHA22	2006:5 2007:5 
B0000AJ0PQ	2011:3 
B0000BXJIO	2008:3 2009:5 2010:4 2011:4 2012:5 
